Sequence_id	Database_id	Percentage_identity	E-value	Classification
70|DICE_READ_00264669	101111	93.26	9e-107	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
71|DICE_READ_00247324	169976	97.14	4e-121	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
72|DICE_READ_00245682	138778	95.65	8e-104	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
73|DICE_READ_00256480	111879	96.91	2e-126	Bacteria; Unclassified; otu_205
74|DICE_READ_00249095	7719	93.2	7e-98	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga; Unclassified; otu_3407
75|DICE_READ_00258923	87543	96.89	1e-108	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
76|DICE_READ_00237928	7719	93.2	7e-98	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga; Unclassified; otu_3407
77|DICE_READ_00251455	55371	98.32	4e-124	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
78|DICE_READ_00255148	55371	98.32	4e-124	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
79|DICE_READ_00262881	7719	92.86	1e-96	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga; Unclassified; otu_3407
80|DICE_READ_00240333	92037	97.59	6e-126	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
81|DICE_READ_00254048	143237	94.92	3e-112	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
82|DICE_READ_00256168	111879	96.9	7e-126	Bacteria; Unclassified; otu_205
83|DICE_READ_00250704	68830	98.4	3e-131	Bacteria; Cyanobacteria; Oscillatoriales; Arthrospira; otu_1245
84|DICE_READ_00263324	103807	97.31	4e-130	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylococcus; Unclassified; otu_3253
85|DICE_READ_00248676	143237	94.21	1e-108	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
86|DICE_READ_00263919	143237	93.49	2e-104	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
87|DICE_READ_00249039	68830	98.01	7e-129	Bacteria; Cyanobacteria; Oscillatoriales; Arthrospira; otu_1245
88|DICE_READ_00257648	138778	93.16	2e-92	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
89|DICE_READ_00250826	7719	93.17	3e-97	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga; Unclassified; otu_3407
90|DICE_READ_00260250	138778	93.16	2e-92	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
91|DICE_READ_00260565	154145	91.7	1e-96	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Neptunomonas; Unclassified; otu_3306
92|DICE_READ_00240554	143237	94.55	2e-110	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
93|DICE_READ_00267414	138778	93.82	8e-107	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
94|DICE_READ_00263729	143237	94.16	5e-108	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
95|DICE_READ_00249194	97596	91.67	1e-84	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
96|DICE_READ_00250315	101111	100	9e-147	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
97|DICE_READ_00252697	101111	97.07	1e-99	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
98|DICE_READ_00258430	8100	92.77	2e-95	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
99|DICE_READ_00255911	104638	98.35	2e-126	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
100|DICE_READ_00256302	104638	98.35	2e-126	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
101|DICE_READ_00250213	101111	100	2e-144	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
102|DICE_READ_00263179	104638	97.45	5e-139	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
103|DICE_READ_00244592	101111	97.07	9e-100	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
104|DICE_READ_00259977	143237	93.52	2e-98	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
105|DICE_READ_00241990	169976	96.79	1e-120	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
106|DICE_READ_00239576	8229	95.24	4e-102	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
107|DICE_READ_00259014	73001	97.14	4e-121	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Unclassified; otu_3042
108|DICE_READ_00257854	169976	98.2	1e-114	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
109|DICE_READ_00258656	161200	93.6	2e-101	Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; Pirellula; Unclassified; otu_2083
110|DICE_READ_00266946	101111	97.06	2e-98	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
111|DICE_READ_00263700	204762	99.2	2e-135	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
